codigo_ibge,nome,latitude,longitude
3546207,Santa Cruz da Conceição,-22.1405,-47.4512
3546256,Santa Cruz da Esperança,-21.2951,-47.4304
3546306,Santa Cruz das Palmeiras,-21.8235,-47.248
3546405,Santa Cruz do Rio Pardo,-22.8988,-49.6354
3546504,Santa Ernestina,-21.4618,-48.3953
3546603,Santa Fé do Sul,-20.2083,-50.932
3546702,Santa Gertrudes,-22.4572,-47.5272
3546801,Santa Isabel,-23.3172,-46.2237
3546900,Santa Lúcia,-21.685,-48.0885
3547007,Santa Maria da Serra,-22.5661,-48.1593
3547106,Santa Mercedes,-21.3495,-51.7564
3547403,Santa Rita d'Oeste,-20.1414,-50.8358
3547502,Santa Rita do Passa Quatro,-21.7083,-47.478
3547601,Santa Rosa de Viterbo,-21.4776,-47.3622
3547650,Santa Salete,-20.2429,-50.6887
3547205,Santana da Ponte Pensa,-20.2523,-50.8014
3547304,Santana de Parnaíba,-23.4439,-46.9178
3547700,Santo Anastácio,-21.9747,-51.6527
3547809,Santo André,-23.6737,-46.5432
3547908,Santo Antônio da Alegria,-21.0864,-47.1464
3548005,Santo Antônio de Posse,-22.6029,-46.9192
3548054,Santo Antônio do Aracanguá,-20.9331,-50.498
3548104,Santo Antônio do Jardim,-22.1121,-46.6845
3548203,Santo Antônio do Pinhal,-22.827,-45.663
3548302,Santo Expedito,-21.8467,-51.3929
3548500,Santos,-23.9535,-46.335
3548401,Santópolis do Aguapeí,-21.6376,-50.5044
3551108,Sarapuí,-23.6397,-47.8249
3551207,Sarutaiá,-23.2721,-49.4763
3551306,Sebastianópolis do Sul,-20.6523,-49.925
3551405,Serra Azul,-21.3074,-47.5602
3551603,Serra Negra,-22.6139,-46.7033
3551504,Serrana,-21.2043,-47.5952
3551702,Sertãozinho,-21.1316,-47.9875
3551801,Sete Barras,-24.382,-47.9279
3551900,Severínia,-20.8108,-48.8054
3552007,Silveiras,-22.6638,-44.8522
3552106,Socorro,-22.5903,-46.5251
3552205,Sorocaba,-23.4969,-47.4451
3552304,Sud Mennucci,-20.6872,-50.9238
3552403,Sumaré,-22.8204,-47.2728
3552502,Suzano,-23.5448,-46.3112
3552551,Suzanápolis,-20.4981,-51.0268
3548609,São Bento do Sapucaí,-22.6837,-45.7287
3548708,São Bernardo do Campo,-23.6914,-46.5646
3548807,São Caetano do Sul,-23.6229,-46.5548
3548906,São Carlos,-22.0174,-47.886
3549003,São Francisco,-20.3623,-50.6952
3549409,São Joaquim da Barra,-20.5812,-47.8593
3549508,São José da Bela Vista,-20.5935,-47.6424
3549607,São José do Barreiro,-22.6414,-44.5774
3549706,São José do Rio Pardo,-21.5953,-46.8873
3549805,São José do Rio Preto,-20.8113,-49.3758
3549904,São José dos Campos,-23.1896,-45.8841
3549102,São João da Boa Vista,-21.9707,-46.7944
3549201,São João das Duas Pontes,-20.3879,-50.3792
3549250,São João de Iracema,-20.5111,-50.3561
3549300,São João do Pau d'Alho,-21.2662,-51.6672
3549953,São Lourenço da Serra,-23.8491,-46.9432
3550001,São Luiz do Paraitinga,-23.222,-45.3109
3550100,São Manuel,-22.7321,-48.5723
3550209,São Miguel Arcanjo,-23.8782,-47.9935
3550308,São Paulo,-23.5329,-46.6395
3550407,São Pedro,-22.5483,-47.9096
3550506,São Pedro do Turvo,-22.7453,-49.7428
3550605,São Roque,-23.5226,-47.1357
3550704,São Sebastião,-23.7951,-45.4143
3550803,São Sebastião da Grama,-21.7041,-46.8208
3550902,São Simão,-21.4732,-47.5518
3551009,São Vicente,-23.9574,-46.3883
3552601,Tabapuã,-20.9602,-49.0307
3552700,Tabatinga,-21.7239,-48.6896
3552809,Taboão da Serra,-23.6019,-46.7526
3552908,Taciba,-22.3866,-51.2882
3553005,Taguaí,-23.4452,-49.4024
3553104,Taiaçu,-21.1431,-48.5112
3553203,Taiúva,-21.1223,-48.4528
3553302,Tambaú,-21.7029,-47.2703
3553401,Tanabi,-20.6228,-49.6563
3553609,Tapiratiba,-21.4713,-46.7448
3553500,Tapiraí,-23.9612,-47.5062
3553658,Taquaral,-21.0737,-48.4126
3553708,Taquaritinga,-21.4049,-48.5103
3553807,Taquarituba,-23.5307,-49.241
3553856,Taquarivaí,-23.9211,-48.6948
3553906,Tarabai,-22.3016,-51.5621
3553955,Tarumã,-22.7429,-50.5786
3554003,Tatuí,-23.3487,-47.8461
3554102,Taubaté,-23.0104,-45.5593
3554201,Tejupá,-23.3425,-49.3722
3554300,Teodoro Sampaio,-22.5299,-52.1682
3554409,Terra Roxa,-20.787,-48.3314
